LocusTag,Gene,Length,description,pI,mw,proteinLength,function,product,essential,ec,names,,,
BSU21820,thyB,792,thymidylate synthase B,6.27,30.3873,264,biosynthesis of thymidine nucleotides,thymidylate synthase B,no,2.1.1.45,thyB,,,
new_1907202_1907287,S649,86,"new RNA feature, 3'UTR of ynzB
",,,,,3'UTR of ynzB,,,S649,,,
BSU12750,xkdV,2061,PBSX prophage,5.53,76.894,687,unknown,unknown,no,,xkdV,,,
new_129162_129283,S52,122,"new RNA feature, intergenic region
",,,,,intergenic region,,,S52,,,
BSU22430,panB,831,3-methyl-2-oxobutanoate hydroxymethyltransferase,5.28,29.6072,277,biosynthesis of coenzyme A,3-methyl-2-oxobutanoate hydroxymethyltransferase,no,2.1.2.11,panB,,,
BSU30659,ytzI,174,unknown,8.248,6.6,58,unknown,unknown,-,,ytzI,,,
BSU33470,bdbC,414,"thiol-disulfide oxidoreductase, required for the formation of thiol disulfide bonds in several proteins",9.05,15.573,138,oxidative folding of proteins,thiol-disulfide oxidoreductase,no,,"bdbC,yvgU",,,
BSU20999,yoyJ,249,toxin (weakly active),9.515,10,83,unknown,toxin,-,,yoyJ,,,
BSU24040,bkdAB,981,2-oxoisovalerate dehydrogenase (E1 beta subunit),4.79,35.7005,327,utilization of branched-chain keto acids,2-oxoisovalerate dehydrogenase (E1 beta subunit),no,1.2.4.4,"bkdAB,bfmBAB, bfmB1b, bkd",,,
BSU00330,yabA,357,"inhibitor of [[protein|DnaA]] oligomerization, tethers [[protein|DnaA ]]to the polymerase-clamp protein [[protein|DnaN]]",6.07,13.9587,119,positioning of [[protein|DnaA]],negative regulator of [[category|DNA replication|replication]] initiation,no,,yabA,,,
BSU34510,yvdQ,510,putative spore coat protein,5.81,18.4366,170,protection of the spore,putative spore coat protein,no,,yvdQ,,,
BSU01590,ybaS,849,similar to Na+-dependent transporter,10.18,30.4572,283,unknown,unknown,no,,ybaS,,,
BSU18940,yozK,345,N-terminal fragment of the Y family DNA polymerase [[protein|YozK]]-[[protein|YobH]],8.2,12.8385,115,unknown,unknown,no,,yozK,,,
new_599509_599874_c,S193,366,"new RNA feature, 3'UTR of ydzR
",,,,,3'UTR of ydzR,,,S193,,,
BSU05480,mhqN,618,similar to NAD(P)H nitroreductase,5.56,23.4118,206,unknown,unknown,no,,"mhqN,ydfN",,,
BSU13500,ktrD,1347,"low affinity potassium  transporter [[protein|KtrC]]-[[protein|KtrD]], integral membrane subunit",9.22,49.2608,449,potassium uptake,"low affinity potassium  transporter [[protein|KtrC]]-[[protein|KtrD]], integral membrane subunit (proton symport)",no,,"ktrD,ykrM",,,
BSU09650,srtN,741,protein deacetylase and lipoamidase,5.13,27.2677,247,control of [[protein|AcsA ]]activity,NAD(+)-dependent deacetylase and lipoamidase,no,,"srtN,yhdZ",,,
BSU12340,uxuA,1077,D-mannonate hydrolyase,4.92,40.865,359,hexuronate utilization,D-mannonate hydrolyase,no,4.2.1.8,"uxuA,yjmE",,,
BSU27380,yrzB,279,unknown,3.32,10.6836,93,unknown,unknown,no,,yrzB,,,
new_3923131_3923318,S1474,188,"new RNA feature, 5'UTR of slrA
",,,,,5'UTR of slrA,,,S1474,,,
BSU04910,conB,1062,"part of the ICEBs1 conjugation machinery, required for the localization of ConE to the membrane",7.02,41.2482,354,conjugative transfer of ICEBs1,part of the ICEBs1 conjugation machinery,no,,"conB,yddB",,,
BSU03910,gabD,1386,"succinate-semialdehyde dehydrogenase (NADP), general stress protein",4.76,50.0967,462,utilization of gamma-amino butyric acid,succinate-semialdehyde dehydrogenase (NADP),no,,"gabD,ycnH",,,
BSU21890,ypgQ,615,"Mn<sup>2+</sup>-dependent pyrophosphohydrolase, hydrolyzes (deoxy)ribonucleoside triphosphate [(d)NTP] to (deoxy)ribonucleoside monophosphate and pyrophosphate",5.51,22.9759,205,degradation of excessive or abnormal nucleotides,Mn<sup>2+</sup>-dependent pyrophosphohydrolase,no,,ypgQ,,,
BSU25100,zur,435,"transcriptional repressor, regulates zinc homeostasis",4.86,16.4218,145,"regulation of zinc homeostasis([[gene|yciC]], [[gene|znuA]]-[[gene|znuC]]-[[gene|znuB]])",transcriptional repressor ([SW|Fur family]),no,,"zur,yqfV",,,
BSU19749,yoyG,111,unknown,5,4,37,unknown,unknown,-,,yoyG,,,
BSU03050,ldh,963,L-lactate dehydrogenase,5.394,34,321,"overflow metabolism, fermentation",L-lactate dehydrogenase,no,1.1.1.27,"ldh,lctE",,,
BSU_misc_RNA_41,bsrB,,6S RNA,,,,antagonist of SigA,6S RNA,no,,bsrB,,,
new_3263403_3263797,S1220,395,"new RNA feature, 5'UTR of yuzE
",,,,,5'UTR of yuzE,,,S1220,,,
BSU40980,yyaB,438,unknown,10.41,16.8523,146,unknown,unknown,no,,yyaB,,,
BSU27810,yrbD,1452,sodium/proton-dependent alanine transporter,9.38,51.4288,484,uptake of alanine,sodium/proton-dependent alanine transporter,no,,yrbD,,,
new_3105438_3105878,S1157,441,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1157,,,
BSU20950,yopB,225,unknown,6.48,8.9625,75,unknown,unknown,no,,yopB,,,
BSU39910,yxnB,480,unknown,5.11,18.8956,160,unknown,unknown,no,,yxnB,,,
BSU16790,tepA,669,"orphan ClpP-like germination protease, contributes to SASP degradation",5.57,24.0982,223,degradation of SASPs,germination protease,no,,"tepA,ymfB, ylxI",,,
BSU08170,yfjA,312,unknown,4.86,11.8878,104,unknown,unknown,no,,yfjA,,,
BSU28370,rph,735,"RNase PH, 3-5 exoribonuclease",4.89,26.5318,245,3-5 exoribonuclease,RNase PH (EC 2.7.7.56),no,2.7.7.56,rph,,,
BSU40460,yyzB,201,unknown,6.33,7.7728,67,unknown,unknown,no,,yyzB,,,
BSU40290,yycN,468,putative N-acetyltransferase,6.83,18.0221,156,unknown,unknown,no,,yycN,,,
BSU20750,yopV,192,unknown,4.76,7.5403,64,unknown,unknown,no,,yopV,,,
BSU32370,yunD,1386,unknown,4.81,51.7057,462,unknown,unknown,no,,yunD,,,
BSU12380,uxaB,1440,tagaturonate reductase,5.06,55.1946,480,hexuronate utilization,tagaturonate reductase,no,1.1.1.58,"uxaB,yjmI",,,
BSU19570,mhqE,909,dioxygenase/glyoxalase,5.04,33.6979,303,resistance to methyl hydroquinone and catechol,dioxygenase/glyoxalase,no,,"mhqE ,yodE",,,
new_304308_304389_c,S104,82,"new RNA feature, 5'UTR of cwlK
",,,,,5'UTR of cwlK,,,S104,,,
BSU38100,ywcH,999,similar to monooxygenase,5.94,36.4019,333,unknown,unknown,no,,"ywcH,ipa-44d",,,
BSU21310,yozP,327,unknown,4.94,12.2211,109,unknown,unknown,no,,yozP,,,
new_2388935_2389134_c,S863,200,"new RNA feature, independent transcript
",,,,,independent transcript,,,S863,,,
BSU05010,rapI,1173,"response regulator aspartate phosphatase, antagonist of ImmR",5.05,46.4036,391,control of transfer of the mobile genetic element ICEBs1,response regulator aspartate phosphatase,no,,"rapI,yddL",,,
BSU17920,ynzD,171,"Spo0A-P phosphatase, control of the phosphorelay",6.33,6.5474,57,control of sporulation initiation,Spo0A-P phosphatase,no,,ynzD,,,
new_490527_490638_c,S144,112,"new RNA feature, independent transcript
",,,,,independent transcript,,,S144,,,
BSU18770,yoaV,876,putative cysteine and O-acetyl serine efflux permease,9.43,32.891,292,unknown,putative cysteine and O-acetyl serine efflux permease,no,,"yoaV,cyeA",,,
BSU09200,yhcS,594,sortase,7.17,21.8306,198,anchoring of proteins to the cell wall,sortase,no,,yhcS,,,
BSU04550,ydbP,318,similar to thioredoxin,4.39,12.2923,106,unknown,unknown,no,,ydbP,,,
new_1240279_1240355,S419,77,"new RNA feature, 5'UTR of yjbQ
",,,,,5'UTR of yjbQ,,,S419,,,
BSU22800,spoIVA,1476,"ATPase, spore coat morphogenetic protein, anchors the spore coat to the spore surface via [[protein|SpoVM]]",4.55,55.0071,492,spore cortex formation and coat assembly,"ATPase, basement layer protein for spore coat assembly",no,,"spoIVA,spoVP",,,
new_2338392_2338537,S842,146,"new RNA feature, 5'UTR of yppF
",,,,,5'UTR of yppF,,,S842,,,
BSU05170,ydeE,870,similar to transcription factor (AraC family),7.22,33.1032,290,unknown,unknown,no,,ydeE,,,
BSU14100,ykuJ,237,unknown,4.34,9.1072,79,unknown,unknown,no,,ykuJ,,,
new_3451133_3451197_c,S1286,65,"new RNA feature, 5'UTR of ssrA
",,,,,5'UTR of ssrA,,,S1286,,,
BSU34740,crh,255,"\Carbon-flux regulating HPr\"""," formerly known as \""Catabolite repression HPr-like protein\""", control of flux through the harmful methylglyoxal pathway," minor cofactor of the [[protein|CcpA ]]transcription factor""",4.7,9.1893,85,control of carbon flux,carbon-flux regulating HPr,no,,"crh,yvcM"
BSU14290,mobB,519,molybdopterin-guanine dinucleotide biosynthesis,5.76,19.0018,173,nitrate respiration,molybdenum cofactor synthesis protein,no,,mobB,,,
BSU08960,yhbF,705,"bactofilin, required for flagellar hook- and filament assembly",6.64,24.9478,235,assembly of the flagellar hook and filament,bactofilin,no,,"yhbF,yzdB",,,
BSU31100,ktrB,1335,"high affinity potassium  transporter [[protein|KtrA]]-[[protein|KtrB]], integral membrane subunit",10.12,48.2735,445,potassium uptake,"high affinity potassium  transporter [[protein|KtrA]]-[[protein|KtrB]], integral membrane subunit",no,,"ktrB,yubG",,,
BSU27750,bofC,510,"general stress protein, controls processing of pro-SigK by SpoIVFB",5.75,19.1527,170,control of processing of pro-SigK by SpoIVFB,forespore regulator of the sigma-K checkpoint,no,,bofC,,,
BSU32090,yuiA,141,unknown,8.08,4.7397,47,unknown,unknown,no,,"yuiA,yumA",,,
BSU13420,dgcW,2247,diguanylate cyclase and potential phosphodiesterase,6.82,84.6295,749,synthesis of c-di-GMP,diguanylate cyclase and potential phosphodiesterase,no,,"dgcW,ykoW",,,
BSU_misc_RNA_13,BSU_misc_RNA_13,,,,,,,,,,BSU_misc_RNA_13,,,
BSU32460,pucM,363,uricase,5.08,13.2682,121,purine utilization,uricase,no,3.5.2.17,"pucM,yunM",,,
BSU14680,ykzC,426,unknown,5.52,16.1528,142,unknown,unknown,no,,ykzC,,,
new_2385822_2386047_c,S861,226,"new RNA feature, 5'UTR of hbs
",,,,,5'UTR of hbs,,,S861,,,
new_60361_60429,S34,69,"new RNA feature, intergenic region
",,,,,intergenic region,,,S34,,,
new_2996284_2996678,S1111,395,"new RNA feature, 5'UTR of ytpI
",,,,,5'UTR of ytpI,,,S1111,,,
BSU37580,ywgB,468,unknown,5.64,17.2925,156,unknown,unknown,no,,ywgB,,,
BSU33980,yvbT,1008,similar to alkanal monooxygenase,5.32,36.9449,336,unknown,unknown,no,,yvbT,,,
BSU07890,yfkI,318,"general stress protein, required for protection against paraquat stress",10.35,11.912,106,protection against paraquat stress,unknown,no,,yfkI,,,
BSU02240,mpr,939,extracellular metalloprotease,8.97,33.6877,313,protein degradation,extracellular metalloprotease,no,,mpr,,,
BSU33040,citG,1386,fumarase,5.47,50.3649,462,TCA cycle,fumarate hydratase,no,4.2.1.2,citG,,,
BSU16360,fliQ,267,part of the flagellar type III export apparatus  (flagellar Type III secretion system),4.74,9.5751,89,export of flagellum components,part of the flagellar type III export apparatus,no,,fliQ,,,
BSU27480,recD2,2394,5'-3' DNA helicase replication fork progression,5.08,88.9936,798,replication fork progression,5'-3' DNA helicase,no,3.6.4.12,"recD2,yrrC",,,
BSU01560,kbaA,594,"activation of the [[protein|KinB]]-dependent pathway to [SW|sporulation], control of the [SW|phosphorelay]",9.81,22.6297,198,control of [SW|sporulation ]initiation,effector of [[protein|KinB ]]activity,no,,"kbaA,ybxC,ybaM",,,
BSU27350,yrrN,927,similar to protease,4.64,34.9234,309,unknown,unknown,no,,yrrN,,,
BSU20390,yorG,969,unknown,4.75,36.4708,323,unknown,unknown,no,,yorG,,,
new_3035475_3036308_c,S1134,834,"new RNA feature, 3' of S1136
",,,,,3' of S1136,,,S1134,,,
BSU08360,yfiQ,1086,unknown,9.23,40.8772,362,unknown,unknown,no,,yfiQ,,,
BSU33010,cssR,675,"two-component response regulator ([SW|OmpR family]), control of cellular responses to [SW|protein secretion] stress",5.07,26.0641,225,control of cellular responses to protein secretion stress,two-component response regulator ([SW|OmpR family]),no,,"cssR,yvqA",,,
BSU40140,yydJ,720,"[SW|ABC transporter], permease, export of the mature [[protein|YydF]] epipeptide",9.47,27.3563,240,control of [[protein|LiaR]]-[[protein|LiaS]] activity,"[SW|ABC transporter], permease",no,,yydJ,,,
BSU27220,yrhE,2940,"unknown, similar to formate dehydrogenase",5.16,108.568,980,unknown,unknown,no,1.2.1.2,yrhE,,,
BSU32290,yutF,768,p-nitrophenyl phosphatase,4.55,27.8059,256,unknown,p-nitrophenyl phosphatase,no,,yutF,,,
BSU25220,antE,294,dnaG overlapping gene of unknown function,10.72,11.1582,98,unknown,unknown,no,,antE,,,
BSU16940,recA,1041,"multifunctional protein involved in homologous recombination and DNA repair (LexA-autocleavage), required to internalize and to recombine ssDNA with homologous resident duplex, required for efficient survival and replication restart after replication-transcription conflicts",4.88,37.9336,347,DNA repair/ recombination,multifunctional protein involved in homologous recombination and DNA repair (LexA-autocleavage),no,,"recA,recE",,,
BSU31300,yugS,1302,unknown,5.13,49.3258,434,unknown,unknown,no,,yugS,,,
BSU02730,natK,954,"two-component sensor kinase, regulation of the [[gene|natA]]-[[gene|natB]] operon",8.05,34.9219,318,regulation of the [[gene|natA]]-[[gene|natB]] operon,two-component sensor kinase,no,,"natK,yccG",,,
BSU00430,yabG,870,protease,9.14,33.1659,290,modification of spore coat proteins,protease,no,,yabG,,,
BSU37410,albE,1158,antilisterial bacteriocin (subtilosin) production,6.07,43.201,386,antilisterial bacteriocin (subtilosin) production,processing protease,no,,"albE,ywhO",,,
BSU04560,ddl,1062,D-alanine-D-alanine ligase,4.58,38.973,354,peptidoglycan precursor biosynthesis,D-alanine-D-alanine ligase,yes,6.3.2.4,"ddl,ddlA",,,
BSU01510,ybaJ,765,unknown,4.94,28.2043,255,unknown,unknown,no,,ybaJ,,,
BSU19689,yokU,276,unknown,4,11,92,unknown,unknown,-,,yokU,,,
BSU21420,bhlA,210,holin-like protein,4.79,8.2431,70,unknown,holin-like protein,no,,"bhlA,yomB",,,
BSU21960,ypeQ,180,unknown,8.4,7.0744,60,unknown,unknown,no,,ypeQ,,,
BSU27910,thrR,441,transcription repressor  of threonine biosynthetic gene,6.36,16.5171,147,control of threonine biosynthesis,transcription repressor  of threonine biosynthetic gene,no,,"thrR,pheB,yszB",,,
BSU31280,yugU,426,"general stress protein, survival of ethanol and paraquat stresses",6.59,16.1669,142,survival of stress conditions,unknown,no,,yugU,,,
BSU28030,mreB,1011,"[SW|cell shape]-determining protein, forms filaments, the polymers control/restrict the mobility of the cell wall elongation enzyme complex, required for [[protein|LytE ]]activity",4.9,35.7896,337,[SW|cell shape] determination,[SW|cell shape]-determining protein,yes,,"mreB,divIVB",,,
BSU33430,cysI,1815,sulfite reductase (NADPH2),5.49,64.634,605,sulfite reduction,sulfite reductase (NADPH2),no,,"cysI,yvgR",,,
new_834310_834382,S262,73,"new RNA feature, 5'UTR of citM
",,,,,5'UTR of citM,,,S262,,,
BSU17160,pksH,777,involved in polyketide synthesis,6.33,29.2604,259,polyketide synthesis,unknown,no,,pksH,,,
BSU36580,ywnF,432,unknown,10.2,16.7457,144,unknown,unknown,no,,ywnF,,,
BSU07100,lplA,1506,"lipoprotein, putative [SW|ABC transporter] (solute binding protein)",5.61,56.0531,502,unknown,unknown,no,,lplA,,,
BSU04780,ydcI,2157,unknown,6.77,81.2273,719,unknown,unknown,no,,ydcI,,,
BSU10540,ntdB,858,kanosamine-6-phosphate phosphatase,5.35,33.0473,286,synthesis of the antibiotic kanosamine,kanosamine-6-phosphate phosphatase,no,,"ntdB,yhjK",,,
BSU07150,hmoA,375,heme monooxygenase,9.13,14.5692,125,degradation of heme,heme monooxygenase,no,,"hmoA,yetG",,,
BSU27468,yrzQ,129,unknown,12.131,5,43,unknown,unknown,-,,yrzQ,,,
BSU_rRNA_6,rrnJ-16S,,16S rRNA,,,,translation,ribosomal RNA-16S,no,,rrnJ-16S,,,
new_2098330_2098837,S738,508,"new RNA feature, intergenic region
",,,,,intergenic region,,,S738,,,
BSU30870,ytcB,948,putative UDP-glucose epimerase,8.87,34.7591,316,unknown,putative UDP-glucose epimerase,no,,ytcB,,,
BSU18290,yngL,390,unknown,9.62,14.5289,130,unknown,unknown,no,,yngL,,,
new_1748711_1749895_c,S601,1185,"new RNA feature, independent transcript
",,,,,independent transcript,,,S601,,,
BSU24080,bcd,1092,"valine dehydrogenase, isoleucine dehydrogenase, L-leucine dehydrogenase",4.94,39.8332,364,utilization of branched-chain keto acids,"valine dehydrogenase, isoleucine dehydrogenase, L-leucine dehydrogenase",no,1.4.1.9,"bcd,bkd, yqiT",,,
BSU28120,hemL,1290,glutamate-1-semialdehyde aminotransferase,5.05,46.2862,430,heme biosynthesis,glutamate-1-semialdehyde aminotransferase,no,5.4.3.8,"hemL,hemK",,,
BSU09870,khtS,336,modulator of [[protein|KhtU]] activity,7.02,12.6387,112,control of potassium ion efflux,modulator of [[protein|KhtU]] activity,no,,"khtS,yhaS",,,
new_1430539_1430623,S489,85,"new RNA feature, 5'UTR of spo0E
",,,,,5'UTR of spo0E,,,S489,,,
BSU33970,araR,1152,"transcriptional repressor ([SW|GntR family], [SW|LacI family]) of the arabinose utilization genes",6.34,43.0024,384,regulation of arabinose utilization,"transcriptional repressor ([SW|GntR family], [SW|LacI family])",no,,"araR,araC,yvbS",,,
BSU13640,spo0E,255,"Spo0A-P phosphatase, control of the phosphorelay",6.48,9.6536,85,initiation of sporulation,Spo0A-P phosphatase,no,,spo0E,,,
BSU34620,yvdF,1767,"glucan 1,4-alpha-maltohydrolase, neopullulanase, maltogenic amylase",5.18,68.6778,589,starch and maltodextrin utilization,"glucan 1,4-alpha-maltohydrolase, neopullulanase, maltogenic amylase",no,,yvdF,,,
BSU15660,yloC,873,unknown,4.87,33.4769,291,unknown,unknown,no,,yloC,,,
BSU36530,bcrC,579,"undecaprenyl pyrophosphate phosphatase, produces the carrier lipid for cell wall synthesis, secondary bacitracin resistance determinant",9.45,21.5783,193,"cell wall synthesis, resistance to bacitracin and oxidative stress",undecaprenyl pyrophosphate phosphatase,no,3.6.1.27,"bcrC,ywoA",,,
BSU15820,rpmB,186,ribosomal protein,12.24,6.6733,62,translation,ribosomal protein L28,no,,"rpmB,yloT",,,
BSU02640,tatCD,735,component of the [[protein|TatAD]]-[[protein|TatCD]] twin-arginine translocase,9.34,27.9646,245,TAT [SW|protein secretion],component of the twin-arginine translocation pathway,no,,"tatCD,ycbT",,,
BSU35050,yvnA,471,unknown,10.06,18.1017,157,unknown,unknown,no,,yvnA,,,
BSU15480,pyrP,1302,uracil permease,9.5,45.4117,434,uracil transport in/out via proton symport,uracil permease,no,,pyrP,,,
new_3510491_3510596_c,S1308,106,"new RNA feature, 5'UTR of lutR
",,,,,5'UTR of lutR,,,S1308,,,
BSU01660,nagZ,1926,N-acetylglucosaminidase,9.76,70.4027,642,cell wall recycling,N-acetylglucosaminidase,no,3.2.1.52,"nagZ,yzbA,ybbD",,,
BSU18819,yozU,210,"unknown, putative pseudogene",,,70,unknown,unknown,-,,yozU,,,
BSU37990,ywdE,531,unknown,7.58,19.7226,177,unknown,unknown,no,,"ywdE,ipa-55d",,,
new_1265432_1265529,S433,98,"new RNA feature, intergenic region
",,,,,intergenic region,,,S433,,,
new_2845839_2845914_c,S1056,76,"new RNA feature, 5'UTR of safA
",,,,,5'UTR of safA,,,S1056,,,
new_2100447_2100579,S744,133,"new RNA feature, 5'UTR of dhaS
",,,,,5'UTR of dhaS,,,S744,,,
new_3766640_3766713_c,S1412,74,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1412,,,
BSU38350,ywbE,195,unknown,10.64,7.0917,65,unknown,unknown,no,,"ywbE,ipa-20r",,,
BSU02840,ycdG,1683,"general stress protein, similar to oligo-1,6-glucosidase",5.21,65.6425,561,unknown,unknown,no,3.2.1.10,ycdG,,,
BSU39040,yxiS,288,"general stress protein, survival of ethanol, paraquat and salt stresses",4.89,10.9891,96,survival of stress conditions,unknown,no,,yxiS,,,
BSU29580,thiI,1074,"sulfuryl transferase, biosynthesis of 4-thiouridine in tRNA",9.66,40.1652,358,biosynthesis of 4-thiouridine in tRNA,sulfuryl transferase,no,,"thiI,ytbJ",,,
BSU38740,cydC,1701,[SW|ABC transporter] required for expression of cytochrome bd (ATP-binding protein),8.51,62.6333,567,required for expression of cytochrome bd,[SW|ABC transporter]  (ATP-binding protein),no,,"cydC,yxkM",,,
BSU14490,kinC,1284,"two-component sensor kinase, phosphorylates Spo0F and Spo0A, part of the phosphorelay, governs expression of genes involved in biofilm formation",6.22,48.6824,428,initiation of sporulation,two-component sensor kinase,no,,"kinC,ssb",,,
BSU11510,yjbE,654,unknown,7.91,23.5992,218,unknown,unknown,no,,yjbE,,,
BSU27330,udk,633,uridine kinase,5.38,24.3407,211,UMP synthesis,uridine kinase,no,2.7.1.48,udk,,,
BSU10210,yhfF,405,unknown,4.44,15.1468,135,unknown,unknown,no,,yhfF,,,
BSU29850,ytoQ,444,unknown,5.77,16.6487,148,unknown,unknown,no,,ytoQ,,,
BSU27880,nifS,1185,"cysteine desulfurase, required for NAD biosynthesis",6.43,43.6255,395,NAD biosynthesis,cysteine desulfurase,no,2.8.1.7,"nifS,iscS",,,
BSU20720,yopY,276,unknown,9.96,10.8057,92,unknown,unknown,no,,yopY,,,
new_1781074_1781165_c,S613,92,"new RNA feature, 5'UTR of [[gene|ymzD]]",,,,,5'UTR of [[gene|ymzD]],,,S613,,,
BSU35880,capA,1140,"capsular polyglutamate biosynthesis, involved in controlling the D/L enantiomer ratio in polyglutamate",9.27,42.601,380,capsular polyglutamate biosynthesis,unknown,no,,"capA,ywtB,pgsA",,,
BSU07750,yflA,1413,"general stress protein, similar to amino acid carrier protein, required for protection against paraquat stress",9.86,50.4765,471,protection against paraquat stress,unknown,no,,yflA,,,
BSU29380,tcyJ,807,cystine [SW|ABC transporter] (binding protein),9.6,30.0228,269,cystine uptake,cystine [SW|ABC transporter] (binding protein),no,,"tcyJ,ytmJ",,,
BSU06076,ydzW/3,414,"putative phosphomannomutase, internal part of YdzW",,,138,unknown,unknown,-,,ydzW/3,,,
new_1916003_1916622,S657,620,"new RNA feature, intergenic region
",,,,,intergenic region,,,S657,,,
new_2896973_2897093_c,S1071,121,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1071,,,
BSU35319,smiA,375,"swarming motility inhibitor A, adaptor protein for [[protein|LonA]]-mediated degradation of [[protein|SwrA]]",4,15,125,control of swarming motility,adaptor protein for [[protein|LonA]]-mediated degradation of [[protein|SwrA]],no,,"smiA,yvzG",,,
BSU13340,ykoM,462,similar to transcriptional regulator (MarR family),9.47,17.7163,154,unknown,unknown,no,,ykoM,,,
BSU07230,yetM,1107,FAD-dependent monooxygenase,5.34,40.8189,369,unknown,FAD-dependent monooxygenase,no,,yetM,,,
new_697399_697485,S230,87,"new RNA feature, 5'UTR of yebE
",,,,,5'UTR of yebE,,,S230,,,
BSU15130,mraZ,429,Putative DNA-binding protein,4.97,16.4256,143,unknown,unknown,no,,"mraZ,yllB",,,
BSU33110,liaG,720,maybe involved in resistance to bacitracin,5.83,24.9457,240,unknown,unknown,no,,"liaG,yvqG",,,
new_3882656_3882766_c,S1462,111,"new RNA feature, 5'UTR of sivA
",,,,,5'UTR of sivA,,,S1462,,,
BSU32950,yusW,435,unknown,4.91,16.01,145,unknown,unknown,no,,yusW,,,
BSU36600,mta,771,"transcriptional activator ([SW|MerR family])  of multidrug-efflux transporter genes, activates [[gene|ymfD]] expression",4.95,29.7845,257,regulation of multidrug-efflux transporter genes,transcriptional activator ([SW|MerR family]),no,,"mta,ywnD",,,
BSU07240,yetN,1068,unknown,4.74,41.29,356,unknown,unknown,no,,yetN,,,
BSU08340,padR,546,"repressor of [[gene|yveF]]-[[gene|yveG]]-[[gene|padC]], induction occurs by binding of phenolic acids,stress response",7.23,21.0774,182,regulation of the phenolic acid stress response,transcriptional repressor,no,,"padR,yfiO",,,
new_3621540_3621617_c,S1344,78,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1344,,,
BSU16799,ylzJ,210,"germination protein, required for TepA activity",4.905,8,70,control of TepA activity,germination protein,-,,ylzJ,,,
BSU29190,pfkA,957,"phosphofructokinase, glycolytic enzyme",6.14,34.0998,319,catabolic enzyme in glycolysis,6-phosphofructokinase,no,2.7.1.11,"pfkA,pfk",,,
BSU38990,scoA,714,succinyl CoA:3-oxoacid CoA-transferase (subunit A),6.61,25.2508,238,3-hydroxybutyrate utilization,succinyl CoA:3-oxoacid CoA-transferase (subunit A),no,2.8.3.5,"scoA,yxjD",,,
BSU09680,nhaC,1359,Na /H  antiporter,7.87,47.8893,453,pH homeostasis,Na /H  antiporter,no,,"nhaC,yheL",,,
new_2098025_2098315_c,S737,291,"new RNA feature, intergenic region
",,,,,intergenic region,,,S737,,,
BSU25370,yqfB,417,"resistence protein (against sublancin), accessory role in resistance to cefuroxime",11.17,15.5993,139,resistance against sublancin,resistence protein (against sublancin),no,,yqfB,,,
new_2076113_2076205,S725,93,"new RNA feature, 5'UTR of yobO
",,,,,5'UTR of yobO,,,S725,,,
BSU22500,ypjD,333,putative pyrophosphatase,4.95,12.8303,111,unknown,putative pyrophosphatase,no,,"ypjD,jojD",,,
new_646220_646409,S205,190,"new RNA feature, 5'UTR of ydiG
",,,,,5'UTR of ydiG,,,S205,,,
BSU08980,yhbH,1176,[[protein|SigE]]-dependent [SW|sporulation] gene,6.1,45.1712,392,[[category|Sporulation]],unknown,no,,"yhbH,yzdC",,,
BSU17630,yncC,1257,similar to sugar transport protein,10.2,45.5787,419,unknown,unknown,no,,yncC,,,
new_3882015_3882097_c,S1461,83,"new RNA feature, 5'UTR of rocG
",,,,,5'UTR of rocG,,,S1461,,,
BSU14520,adeC,1731,adenine deaminase,4.72,62.6418,577,"utilization of adenine as nitrogen source,purine salvage and interconversion",adenine deaminase,no,3.5.4.2,"adeC,ade, yzaD",,,
BSU_tRNA_50,trnS-Leu1,,,,,,translation,transfer RNA-Leu,no,,trnS-Leu1,,,
BSU38960,yxjG,1134,putative B12-independent methionine synthase,5.01,42.9561,378,unknown,putative methionine synthase,no,,yxjG,,,
BSU17050,mutL,1881,DNA mismatch repair,5.58,70.2543,627,DNA repair,DNA mismatch repair,no,,mutL,,,
new_3813064_3813166_c,S1442,103,"new RNA feature, 5'UTR of rpoE
",,,,,5'UTR of rpoE,,,S1442,,,
BSU03290,nasE,318,assimilatory nitrite reductase (subunit),4.8,11.7559,106,utilization of nitrite as nitrogen source,assimilatory nitrite reductase (subunit),no,1.7.1.4,"nasE,nasBD,nirD",,,
new_928080_928314,S290,235,"new RNA feature, intergenic region
",,,,,intergenic region,,,S290,,,
BSU02760,natB,1158,Na<sup>+</sup> [SW|ABC transporter] (export) (ATP-binding protein),5.36,42.6328,386,sodium export,Na<sup>+</sup> [SW|ABC transporter] (export) (ATP-binding protein),no,,natB,,,
BSU12460,xlyB,951,N-acetylmuramoyl-L-alanine amidase,9.8,33.7096,317,PBSX prophage-mediated lysis,N-acetylmuramoyl-L-alanine amidase,no,3.5.1.28,"xlyB,yjpB",,,
new_1738824_1738940,S594,117,"new RNA feature, 5'UTR of rpsO
",,,,,5'UTR of rpsO,,,S594,,,
BSU03110,ycgH,1131,similar to amino acid transporter,9.25,41.0122,377,unknown,unknown,no,,ycgH,,,
